,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,DATE
22,52.8840909091,,44.1945454545,44.1945454545,,,3.39048181818,11.8507409091,13.5437318182,,,,,,,,,10.3669318182,,2001-05-01
23,52.6728571429,,44.4580952381,44.4580952381,,,3.47874285714,12.5160285714,14.4239857143,,,,,,,,,10.2869047619,,2001-06-01
24,48.1542857143,,42.7752380952,42.7752380952,,,3.2761,13.0015904762,13.2859190476,,,,,,,,,9.69452380952,,2001-07-01
25,51.1691304348,,40.9956521739,40.9956521739,,,3.11470434783,12.8079,13.1416391304,,,,,,,,,9.78391304348,,2001-08-01
26,47.884,,38.7913333333,38.7913333333,,,2.30014,10.6352533333,10.3145666667,,,,,,,,,7.46416666667,,2001-09-01
27,49.3773913043,44.4640625,40.7691304348,40.7691304348,,,2.4476173913,11.0445173913,10.1693826087,,,,,,,,,7.65913043478,,2001-10-01
28,46.1780952381,43.2566666667,38.5852380952,38.5852380952,,,2.66946666667,11.3981285714,10.8757857143,,,,,,,,,8.66178571429,,2001-11-01
29,44.8515,43.56425,38.1485,38.1485,,,3.14493,12.29711,11.784215,,,,,,,,,9.9615,,2001-12-01
30,45.3395238095,43.9011904762,38.9880952381,38.9880952381,,,3.25073809524,12.3649238095,12.6551238095,,,,,,,,,10.9327380952,,2002-01-01
31,47.7578947368,41.5215789474,39.2736842105,39.2736842105,,,3.03907894737,11.9572315789,13.1775105263,,,,,,,,,10.4723684211,,2002-02-01
32,51.994,44.45175,43.303,43.303,,,3.2883,13.661775,14.686815,,,,,,,,,11.654625,,2002-03-01
33,51.4718181818,43.5315909091,42.0686363636,42.0686363636,,,3.17909090909,14.8568590909,15.6644909091,,,,,,,,,11.7340909091,,2002-04-01
34,51.2986363636,44.2463636364,39.9940909091,39.9940909091,,,3.07889090909,14.9656909091,15.1080727273,,,,,,,,,10.7975,,2002-05-01
35,48.789,43.52925,39.5675,39.5675,,,2.456625,13.57644,13.41908,,,,,,,,,9.848875,,2002-06-01
36,45.9113636364,39.5443181818,36.3563636364,36.3563636364,,,2.26925,12.2390681818,13.2960909091,,,,,,,,,8.56931818182,,2002-07-01
37,47.075,37.6738636364,35.6136363636,35.6136363636,,,2.22383181818,11.38965,12.5833181818,,,,,,,,,7.64704545455,,2002-08-01
38,42.174,36.0725,33.4315,33.4315,,,2.24243,10.48245,12.14351,,,,,,,,,7.065,,2002-09-01
39,40.0239130435,36.0234782609,34.3747826087,34.3747826087,,,2.18297826087,9.85827826087,12.4504347826,,,,,,,,,6.77543478261,,2002-10-01
40,38.553,33.78075,34.6085,34.6085,,,2.298215,10.496635,11.99666,,,,,,,,,7.07225,,2002-11-01
41,39.7666666667,33.6445238095,35.1071428571,35.1071428571,,,2.45842857143,10.8120428571,12.5198428571,,,,,,,,,7.31880952381,,2002-12-01
42,38.939047619,33.3645238095,34.4266666667,34.4266666667,,43.9342857143,7.33595238095,20.3054,11.7488809524,,,,,,,,,6.98928571429,,2003-01-01
43,38.5542105263,32.1265789474,33.7852631579,33.7852631579,,40.6815789474,6.75684210526,17.1351157895,10.6501842105,,,,,,,,,6.06802631579,,2003-02-01
44,39.0804761905,32.4807142857,35.0495238095,35.0495238095,,41.0885714286,6.86738095238,16.8250857143,10.8474666667,,,,,,,,,6.1969047619,,2003-03-01
45,38.8080952381,32.0919047619,35.0314285714,35.0314285714,,42.8185714286,7.63119047619,18.9890142857,11.6123714286,,,,,,,,,6.97666666667,,2003-04-01
46,40.6433333333,33.865,35.6680952381,35.6680952381,,45.1724761905,8.8269047619,20.8360809524,12.7811190476,,,,,,,,,7.51761904762,,2003-05-01
47,43.2642857143,36.9288095238,37.2076190476,37.2076190476,,47.8471428571,9.14,21.3869095238,13.8012666667,,,,,,,,,8.43285714286,,2003-06-01
48,40.9440909091,36.1456818182,35.615,35.615,,44.9277272727,10.2181818182,22.2233454545,13.1721136364,,,,,,,,,8.87306818182,,2003-07-01
49,42.1228571429,36.2052380952,36.59,36.59,,45.1617714286,11.1692857143,23.1039428571,12.4730142857,,,,,,,,,9.22214285714,,2003-08-01
50,42.6333333333,36.3645238095,37.469047619,37.469047619,,45.0457142857,11.6661904762,24.550147619,12.5042809524,,,,,,,,,9.4505952381,,2003-09-01
51,43.2456521739,36.8076086957,37.9504347826,37.9504347826,,45.267826087,11.512173913,22.8102869565,12.1414391304,,,,,,,,,9.2075,,2003-10-01
52,42.6157894737,37.1231578947,35.8578947368,35.8578947368,,44.3752631579,12.6697368421,24.0226842105,11.9161315789,,,,,,,,,10.1464473684,,2003-11-01
53,46.3472727273,40.4313636364,38.525,38.525,,48.7227272727,13.2995454545,24.2924909091,11.7087954545,,,,,,,,,9.79045454545,,2003-12-01
54,48.955,43.10875,40.957,40.957,,48.461,15.711,26.70489,13.57433,,,,,,,,,10.62875,,2004-01-01
55,48.1405263158,43.4063157895,41.5752631579,41.5752631579,,47.14,17.2239473684,27.6816894737,14.7575526316,,,,,,,,,10.7823684211,,2004-02-01
56,49.5717391304,44.062173913,41.692173913,41.692173913,,47.5930434783,18.5182608696,27.7212521739,15.9885391304,,,,,,,,,10.8717391304,,2004-03-01
57,53.1033333333,45.3414285714,42.84,42.84,,48.3404761905,18.9604761905,28.6330857143,15.9607857143,,,,,,,,,11.46,,2004-04-01
58,52.855,45.66625,43.119,43.119,,50.053,17.0955,26.976615,14.47,,,,,,,,,10.446125,,2004-05-01
59,53.5919047619,46.1169047619,44.2904761905,44.2904761905,,51.9388235294,15.7698904762,25.6585714286,14.7795761905,,,,,,,,,10.9283333333,,2004-06-01
60,54.5880952381,47.0978571429,45.4461904762,45.4461904762,,51.388125,15.1447714286,24.1083619048,14.6761809524,,,,,,,,,11.2330952381,,2004-07-01
61,54.1981818182,47.5075,45.3336363636,45.3336363636,,50.7605555556,14.9283681818,24.6968454545,14.2893818182,,,,,,,,,11.7213636364,,2004-08-01
62,55.9980952381,51.6407142857,47.7614285714,47.7614285714,,52.189375,15.5952761905,24.8692666667,14.7725190476,,,,,,,,,12.3566666667,,2004-09-01
63,58.7247619048,53.7752380952,49.0728571429,49.0728571429,,53.1396421053,18.8570714286,26.1451190476,14.8219,,,,,,,,,13.5480952381,,2004-10-01
64,59.7685714286,53.7066666667,50.1723809524,50.1723809524,,56.7957142857,22.2561904762,29.4061904762,15.2419047619,,,,,,,,,14.5395238095,,2004-11-01
65,59.0204545455,52.6113636364,50.6827272727,50.6827272727,,58.7386363636,24.8881818182,33.401,17.0586363636,,,,,,,,,14.9254545455,,2004-12-01
66,57.9895,52.2945,50.6885,50.6885,,59.0365,25.2525,34.7468,17.48665,,,,,,,,,14.584,,2005-01-01
67,62.3747368421,58.2652631579,57.4378947368,57.4378947368,,63.4736842105,28.2134210526,37.4862473684,18.9126315789,,,,,,,,,15.7384210526,,2005-02-01
68,64.0459090909,59.4990909091,61.0868181818,61.0868181818,,65.0495454545,27.2754545455,37.5245454545,18.7890909091,,,,,,,,,15.1963636364,,2005-03-01
69,61.6323809524,54.5280952381,59.0566666667,59.0566666667,,63.257,25.425952381,34.8121428571,17.3995238095,5.56857142857,,7.2380952381,19.9417647059,,8.01666666667,,,14.0057142857,38.62,2005-04-01
70,60.4523809524,52.6671428571,55.8242857143,55.8242857143,,61.4361904762,26.9938095238,35.9471428571,17.4952380952,5.97,,7.57380952381,18.1525,,6.94444444444,,,14.5642857143,40.6552380952,2005-05-01
71,62.78,56.58,58.59,58.59,,64.2190909091,29.3013727273,39.4918181818,19.0971363636,6.20545454545,,7.80818181818,15.56,,6.73909090909,,,15.2472727273,44.0727272727,2005-06-01
72,65.65,57.557,59.203,59.203,61.1275,65.6365,23.6745,42.674,20.8905,6.2845,,8.2555,14.9095,,8.441,,,16.3205,46.844,2005-07-01
73,68.187826087,60.5152173913,59.1708695652,59.1708695652,64.4947826087,67.0634782609,11.1104347826,44.7843478261,22.783173913,6.70956521739,,8.72826086957,13.3634782609,,9.23571428571,,,16.2739130435,49.1695652174,2005-08-01
74,70.5728571429,63.4857142857,63.219047619,63.219047619,65.4314285714,68.3414285714,12.2404761905,49.3572857143,23.7485714286,6.709,,8.549,12.4475,,,,,17.2438095238,52.026,2005-09-01
75,66.0685714286,59.310952381,57.8571428571,57.8571428571,61.3771428571,64.4028571429,12.2052380952,48.0680952381,22.2276190476,6.13476190476,,8.86571428571,11.770952381,,8.75,,,17.4752380952,51.0033333333,2005-10-01
76,66.3785714286,57.6966666667,57.8666666667,57.8666666667,61.6719047619,64.9771428571,13.75,52.6934666667,22.9766666667,6.07047619048,,8.87095238095,10.5852380952,,10.0904761905,,,19.2995238095,55.7657142857,2005-11-01
77,66.2057142857,58.1052380952,58.1833333333,58.1833333333,62.3971428571,65.42,15.0161904762,57.2778809524,23.3647619048,5.9735,,9.242,11.4535,,9.18947368421,,,20.2347619048,58.675,2005-12-01
78,69.384,60.302,60.451,60.451,65.3335,68.742,16.43575,60.72928,25.709985,6.1465,,9.6115,12.364,,9.25454545455,,,20.83575,60.3135,2006-01-01
