,DATE,PRODUCT,DEMAND
144,2004-01-01,TOTAL Diesel,1333408
145,2004-01-01,TOTAL Magna,2463103
146,2004-01-01,TOTAL Premium,610066
147,2004-02-01,TOTAL Diesel,1300619
148,2004-02-01,TOTAL Magna,2277310
149,2004-02-01,TOTAL Premium,561037
150,2004-03-01,TOTAL Diesel,1512010
151,2004-03-01,TOTAL Magna,2582168
152,2004-03-01,TOTAL Premium,645626
153,2004-04-01,TOTAL Diesel,1420813
154,2004-04-01,TOTAL Magna,2446412
155,2004-04-01,TOTAL Premium,636693
156,2004-05-01,TOTAL Diesel,1477920
157,2004-05-01,TOTAL Magna,2484446
158,2004-05-01,TOTAL Premium,634199
159,2004-06-01,TOTAL Diesel,1511254
160,2004-06-01,TOTAL Magna,2521258
161,2004-06-01,TOTAL Premium,630205
162,2004-07-01,TOTAL Diesel,1505472
163,2004-07-01,TOTAL Magna,2592114
164,2004-07-01,TOTAL Premium,639443
165,2004-08-01,TOTAL Diesel,1477540
166,2004-08-01,TOTAL Magna,2516394
167,2004-08-01,TOTAL Premium,616019
168,2004-09-01,TOTAL Diesel,1447918
169,2004-09-01,TOTAL Magna,2496194
170,2004-09-01,TOTAL Premium,594266
171,2004-10-01,TOTAL Diesel,1506029
172,2004-10-01,TOTAL Magna,2541992
173,2004-10-01,TOTAL Premium,580474
174,2004-11-01,TOTAL Diesel,1534425
175,2004-11-01,TOTAL Magna,2596189
176,2004-11-01,TOTAL Premium,591305
177,2004-12-01,TOTAL Diesel,1562894
178,2004-12-01,TOTAL Magna,2899271
179,2004-12-01,TOTAL Premium,677183
180,2005-01-01,TOTAL Diesel,1408853
181,2005-01-01,TOTAL Magna,2556752
182,2005-01-01,TOTAL Premium,583748
183,2005-02-01,TOTAL Diesel,1363415
184,2005-02-01,TOTAL Magna,2407047
185,2005-02-01,TOTAL Premium,546221
186,2005-03-01,TOTAL Diesel,1528038
187,2005-03-01,TOTAL Magna,2748068
188,2005-03-01,TOTAL Premium,637507
189,2005-04-01,TOTAL Diesel,1565928
190,2005-04-01,TOTAL Magna,2614552
191,2005-04-01,TOTAL Premium,578138
