DATE,STATE,PRODUCT,DEMAND
2/1/00,CHIAPAS,TOTAL Premium,3223
2/1/00,CHIAPAS,TOTAL Diesel,21393
2/1/00,COAHUILA,TOTAL Magna,42661
2/1/00,COAHUILA,TOTAL Premium,3821
2/1/00,COAHUILA,TOTAL Diesel,35224
2/1/00,CHIHUAHUA,TOTAL Magna,96525
2/1/00,CHIHUAHUA,TOTAL Premium,6034
2/1/00,CHIHUAHUA,TOTAL Diesel,40518
2/1/00,COLIMA,TOTAL Magna,19519
2/1/00,COLIMA,TOTAL Premium,3639
2/1/00,COLIMA,TOTAL Diesel,15497
2/1/00,MEXICO CITY,TOTAL Magna,385140
2/1/00,MEXICO CITY,TOTAL Premium,48271
2/1/00,MEXICO CITY,TOTAL Diesel,98710
2/1/00,DURANGO,TOTAL Magna,53957
2/1/00,DURANGO,TOTAL Premium,4615
2/1/00,DURANGO,TOTAL Diesel,44509
2/1/00,GUANAJUATO,TOTAL Magna,103936
2/1/00,GUANAJUATO,TOTAL Premium,9360
2/1/00,GUANAJUATO,TOTAL Diesel,77022
2/1/00,GUERRERO,TOTAL Magna,31634
2/1/00,GUERRERO,TOTAL Premium,6143
2/1/00,GUERRERO,TOTAL Diesel,14237
2/1/00,HIDALGO,TOTAL Magna,57599
2/1/00,HIDALGO,TOTAL Premium,3513
2/1/00,HIDALGO,TOTAL Diesel,41102
2/1/00,JALISCO,TOTAL Magna,152053
2/1/00,JALISCO,TOTAL Premium,19237
2/1/00,JALISCO,TOTAL Diesel,87058
2/1/00,MEXICO,TOTAL Magna,165851
2/1/00,MEXICO,TOTAL Premium,6416
2/1/00,MEXICO,TOTAL Diesel,67305
2/1/00,MICHOACAN,TOTAL Magna,67168
2/1/00,MICHOACAN,TOTAL Premium,7057
2/1/00,MICHOACAN,TOTAL Diesel,37234
2/1/00,MORELOS,TOTAL Magna,42797
2/1/00,MORELOS,TOTAL Premium,3955
2/1/00,MORELOS,TOTAL Diesel,14475
2/1/00,NAYARIT,TOTAL Magna,6380
2/1/00,NAYARIT,TOTAL Premium,1420
2/1/00,NAYARIT,TOTAL Diesel,2131
2/1/00,NUEVO LEON,TOTAL Magna,117062
2/1/00,NUEVO LEON,TOTAL Premium,19082
2/1/00,NUEVO LEON,TOTAL Diesel,76293
2/1/00,OAXACA,TOTAL Magna,31882
2/1/00,OAXACA,TOTAL Premium,2135
2/1/00,OAXACA,TOTAL Diesel,21779
2/1/00,PUEBLA,TOTAL Magna,84797
2/1/00,PUEBLA,TOTAL Premium,7171
2/1/00,PUEBLA,TOTAL Diesel,45821
2/1/00,QUERETARO,TOTAL Magna,50847
2/1/00,QUERETARO,TOTAL Premium,5093
2/1/00,QUERETARO,TOTAL Diesel,46761
2/1/00,SAN LUIS POTOSI,TOTAL Magna,28270
2/1/00,SAN LUIS POTOSI,TOTAL Premium,5953
2/1/00,SAN LUIS POTOSI,TOTAL Diesel,24934
2/1/00,SINALOA,TOTAL Magna,71839
2/1/00,SINALOA,TOTAL Premium,9148
2/1/00,SINALOA,TOTAL Diesel,79486
2/1/00,SONORA,TOTAL Magna,63280
2/1/00,SONORA,TOTAL Premium,3849
2/1/00,SONORA,TOTAL Diesel,55928
2/1/00,TABASCO,TOTAL Magna,37016
2/1/00,TABASCO,TOTAL Premium,1627
2/1/00,TABASCO,TOTAL Diesel,33296
2/1/00,TAMAULIPAS,TOTAL Magna,93710
2/1/00,TAMAULIPAS,TOTAL Premium,37894
2/1/00,TAMAULIPAS,TOTAL Diesel,62465
2/1/00,VERACRUZ,TOTAL Magna,96630
2/1/00,VERACRUZ,TOTAL Premium,12549
2/1/00,VERACRUZ,TOTAL Diesel,120289
2/1/00,YUCATAN,TOTAL Magna,51121
2/1/00,YUCATAN,TOTAL Premium,6336
2/1/00,YUCATAN,TOTAL Diesel,57410
2/1/00,ZACATECAS,TOTAL Magna,29424
2/1/00,ZACATECAS,TOTAL Premium,1655
2/1/00,ZACATECAS,TOTAL Diesel,15287
3/1/00,AGUASCALIENTES,TOTAL Magna,39616
3/1/00,AGUASCALIENTES,TOTAL Premium,2841
3/1/00,AGUASCALIENTES,TOTAL Diesel,22275
3/1/00,BAJA CALIFORNIA,TOTAL Magna,113690
3/1/00,BAJA CALIFORNIA,TOTAL Premium,25100
3/1/00,BAJA CALIFORNIA,TOTAL Diesel,43358
3/1/00,BAJA CALIFORNIA SUR,TOTAL Magna,16389
3/1/00,BAJA CALIFORNIA SUR,TOTAL Premium,3528
3/1/00,BAJA CALIFORNIA SUR,TOTAL Diesel,8489
3/1/00,CAMPECHE,TOTAL Magna,13220
3/1/00,CAMPECHE,TOTAL Premium,814
3/1/00,CAMPECHE,TOTAL Diesel,9331
3/1/00,CHIAPAS,TOTAL Magna,43595
3/1/00,CHIAPAS,TOTAL Premium,3596
3/1/00,CHIAPAS,TOTAL Diesel,21834
3/1/00,COAHUILA,TOTAL Magna,46618
3/1/00,COAHUILA,TOTAL Premium,4297
3/1/00,COAHUILA,TOTAL Diesel,38029
3/1/00,CHIHUAHUA,TOTAL Magna,108804
3/1/00,CHIHUAHUA,TOTAL Premium,6445
3/1/00,CHIHUAHUA,TOTAL Diesel,50429
3/1/00,COLIMA,TOTAL Magna,21124
3/1/00,COLIMA,TOTAL Premium,4290
3/1/00,COLIMA,TOTAL Diesel,17676
3/1/00,MEXICO CITY,TOTAL Magna,410775
3/1/00,MEXICO CITY,TOTAL Premium,53196
3/1/00,MEXICO CITY,TOTAL Diesel,106744
3/1/00,DURANGO,TOTAL Magna,58269
3/1/00,DURANGO,TOTAL Premium,5339
3/1/00,DURANGO,TOTAL Diesel,48843
3/1/00,GUANAJUATO,TOTAL Magna,110137
3/1/00,GUANAJUATO,TOTAL Premium,11428
3/1/00,GUANAJUATO,TOTAL Diesel,81433
3/1/00,GUERRERO,TOTAL Magna,35657
3/1/00,GUERRERO,TOTAL Premium,7353
3/1/00,GUERRERO,TOTAL Diesel,17019
3/1/00,HIDALGO,TOTAL Magna,65546
3/1/00,HIDALGO,TOTAL Premium,4131
3/1/00,HIDALGO,TOTAL Diesel,50445
3/1/00,JALISCO,TOTAL Magna,160538
3/1/00,JALISCO,TOTAL Premium,19695
3/1/00,JALISCO,TOTAL Diesel,95767
3/1/00,MEXICO,TOTAL Magna,181850
3/1/00,MEXICO,TOTAL Premium,5865
3/1/00,MEXICO,TOTAL Diesel,72464
3/1/00,MICHOACAN,TOTAL Magna,71867
3/1/00,MICHOACAN,TOTAL Premium,8836
3/1/00,MICHOACAN,TOTAL Diesel,42282
3/1/00,MORELOS,TOTAL Magna,47598
3/1/00,MORELOS,TOTAL Premium,4048
3/1/00,MORELOS,TOTAL Diesel,15667
3/1/00,NAYARIT,TOTAL Magna,6900
3/1/00,NAYARIT,TOTAL Premium,1620
3/1/00,NAYARIT,TOTAL Diesel,2642
3/1/00,NUEVO LEON,TOTAL Magna,128069
3/1/00,NUEVO LEON,TOTAL Premium,20997
3/1/00,NUEVO LEON,TOTAL Diesel,92881
3/1/00,OAXACA,TOTAL Magna,35568
3/1/00,OAXACA,TOTAL Premium,2589
3/1/00,OAXACA,TOTAL Diesel,24780
3/1/00,PUEBLA,TOTAL Magna,88310
3/1/00,PUEBLA,TOTAL Premium,8171
3/1/00,PUEBLA,TOTAL Diesel,46035
3/1/00,QUERETARO,TOTAL Magna,54161
3/1/00,QUERETARO,TOTAL Premium,5595
3/1/00,QUERETARO,TOTAL Diesel,50673
3/1/00,SAN LUIS POTOSI,TOTAL Magna,30888
3/1/00,SAN LUIS POTOSI,TOTAL Premium,6409
3/1/00,SAN LUIS POTOSI,TOTAL Diesel,26983
3/1/00,SINALOA,TOTAL Magna,77887
3/1/00,SINALOA,TOTAL Premium,10523
